Subject ID,Date,Investigator Initials,Randomization Number,Treatment Assignment,Comment
,___/___/___,,Stratum 1-1,E,
,___/___/___,,Stratum 1-2,D,
,___/___/___,,Stratum 1-3,E,
,___/___/___,,Stratum 1-4,E,
,___/___/___,,Stratum 1-5,A,
,___/___/___,,Stratum 1-6,D,
,___/___/___,,Stratum 1-7,B,
,___/___/___,,Stratum 1-8,C,
,___/___/___,,Stratum 1-9,D,
,___/___/___,,Stratum 1-10,A,
,___/___/___,,Stratum 1-11,C,
,___/___/___,,Stratum 1-12,A,
,___/___/___,,Stratum 1-13,B,
,___/___/___,,Stratum 1-14,C,
,___/___/___,,Stratum 1-15,B,
,___/___/___,,Stratum 1-16,A,
,___/___/___,,Stratum 1-17,A,
,___/___/___,,Stratum 1-18,C,
,___/___/___,,Stratum 1-19,E,
,___/___/___,,Stratum 1-20,C,
,___/___/___,,Stratum 1-21,D,
,___/___/___,,Stratum 1-22,A,
,___/___/___,,Stratum 1-23,B,
,___/___/___,,Stratum 1-24,E,
,___/___/___,,Stratum 1-25,E,
,___/___/___,,Stratum 1-26,C,
,___/___/___,,Stratum 1-27,B,
,___/___/___,,Stratum 1-28,D,
,___/___/___,,Stratum 1-29,D,
,___/___/___,,Stratum 1-30,B,
,___/___/___,,Stratum 1-31,B,
,___/___/___,,Stratum 1-32,B,
,___/___/___,,Stratum 1-33,C,
,___/___/___,,Stratum 1-34,C,
,___/___/___,,Stratum 1-35,B,
,___/___/___,,Stratum 1-36,D,
,___/___/___,,Stratum 1-37,A,
,___/___/___,,Stratum 1-38,D,
,___/___/___,,Stratum 1-39,E,
,___/___/___,,Stratum 1-40,E,
,___/___/___,,Stratum 1-41,E,
,___/___/___,,Stratum 1-42,A,
,___/___/___,,Stratum 1-43,A,
,___/___/___,,Stratum 1-44,C,
,___/___/___,,Stratum 1-45,D,
,___/___/___,,Stratum 1-46,B,
,___/___/___,,Stratum 1-47,C,
,___/___/___,,Stratum 1-48,D,
,___/___/___,,Stratum 1-49,E,
,___/___/___,,Stratum 1-50,D,
,___/___/___,,Stratum 1-51,B,
,___/___/___,,Stratum 1-52,A,
,___/___/___,,Stratum 1-53,E,
,___/___/___,,Stratum 1-54,C,
,___/___/___,,Stratum 1-55,A,
,___/___/___,,Stratum 1-56,D,
,___/___/___,,Stratum 1-57,D,
,___/___/___,,Stratum 1-58,C,
,___/___/___,,Stratum 1-59,A,
,___/___/___,,Stratum 1-60,B,
,___/___/___,,Stratum 1-61,C,
,___/___/___,,Stratum 1-62,E,
,___/___/___,,Stratum 1-63,B,
,___/___/___,,Stratum 1-64,A,
,___/___/___,,Stratum 1-65,B,
,___/___/___,,Stratum 1-66,E,
,___/___/___,,Stratum 1-67,C,
,___/___/___,,Stratum 1-68,D,
,___/___/___,,Stratum 1-69,E,
,___/___/___,,Stratum 1-70,A,
